Word,Frequency,Rank
offered,8,1521
acting,8,1522
suited,8,1523
mixture,8,1524
enjoy,8,1525
heavy,8,1526
earnest,8,1527
played,8,1528
larger,8,1529
dangerous,8,1530
coolly,8,1531
taylor's,8,1532
lucky,8,1533
takes,8,1534
indulgence,8,1535
expressions,8,1536
frequent,8,1537
trust,8,1538
collected,8,1539
astonished,8,1540
dreadfully,8,1541
enter,8,1542
absent,8,1543
judging,8,1544
quickness,8,1545
missed,8,1546
warmest,8,1547
overcome,8,1548
watching,8,1549
selina,8,1550
vulgar,8,1551
entering,8,1552
hitherto,8,1553
watched,8,1554
governess,8,1555
contrary,8,1556
dressed,8,1557
ended,8,1558
describe,8,1559
beloved,8,1560
evident,8,1561
comforts,8,1562
number,8,1563
tears,8,1564
conclusion,8,1565
apologies,8,1566
frank's,8,1567
dull,8,1568
expressing,8,1569
book,8,1570
introduction,8,1571
doubted,8,1572
grieved,8,1573
afforded,8,1574
twenty,8,1575
decision,8,1576
discovery,8,1577
hurried,8,1578
pleasantly,8,1579
grace,8,1580
houses,8,1581
shook,8,1582
pressed,8,1583
assurance,8,1584
several,8,1585
interference,8,1586
attending,8,1587
forbearance,8,1588
no--i,8,1589
excuses,8,1590
encouraged,8,1591
intimate,8,1592
trifling,8,1593
matrimony,8,1594
staid,8,1595
principal,8,1596
amuse,8,1597
wedding,8,1598
blunder,8,1599
south,8,1600
introduced,8,1601
figure,8,1602
passion,8,1603
displeased,8,1604
forty,8,1605
turns,8,1606
communicated,8,1607
attraction,8,1608
leading,8,1609
entire,8,1610
temptation,8,1611
hall,8,1612
baked,8,1613
prospects,8,1614
constantly,8,1615
proud,8,1616
hurt,8,1617
recollection,8,1618
concerns,8,1619
exquisite,8,1620
remembrance,8,1621
substance,7,1622
windows,7,1623
domestic,7,1624
difficult,7,1625
february,7,1626
schemes,7,1627
sentiments,7,1628
recommendation,7,1629
distressing,7,1630
lady's,7,1631
blindness,7,1632
white,7,1633
composure,7,1634
flutter,7,1635
upright,7,1636
indignation,7,1637
improve,7,1638
wherever,7,1639
escaped,7,1640
anger,7,1641
dark,7,1642
aloud,7,1643
endured,7,1644
knightleys,7,1645
offering,7,1646
removal,7,1647
apt,7,1648
precisely,7,1649
reach,7,1650
pair,7,1651
guests,7,1652
kingston,7,1653
church,7,1654
declined,7,1655
distinctly,7,1656
unwell,7,1657
earlier,7,1658
employ,7,1659
unexceptionable,7,1660
bore,7,1661
induce,7,1662
delightfully,7,1663
broad,7,1664
perceive,7,1665
amusing,7,1666
protest,7,1667
errand,7,1668
farm,7,1669
sensation,7,1670
sanguine,7,1671
supposing,7,1672
intention,7,1673
occupy,7,1674
opposite,7,1675
spread,7,1676
presumption,7,1677
numbers,7,1678
midst,7,1679
post-office,7,1680
instant,7,1681
features,7,1682
merits,7,1683
strawberries,7,1684
affected,7,1685
disparity,7,1686
expense,7,1687
shade,7,1688
approaching,7,1689
complaint,7,1690
arise,7,1691
unfortunate,7,1692
thanked,7,1693
danced,7,1694
listening,7,1695
readily,7,1696
heat,7,1697
cautious,7,1698
moved,7,1699
forgetting,7,1700
fetch,7,1701
westons,7,1702
birth,7,1703
visiting,7,1704
cares,7,1705
mortified,7,1706
talents,7,1707
grandmother,7,1708
brain,7,1709
establishment,7,1710
coldness,7,1711
saturday,7,1712
unwilling,7,1713
corner,7,1714
fallen,7,1715
street,7,1716
shop,7,1717
elizabeth,7,1718
apprehension,7,1719
blushed,7,1720
office,7,1721
alike,7,1722
peculiar,7,1723
detained,7,1724
horror,7,1725
performance,7,1726
destiny,7,1727
partial,7,1728
taught,7,1729
her's,7,1730
ceremony,7,1731
yorkshire,7,1732
unequal,7,1733
horse,7,1734
tongue,7,1735
propriety,7,1736
indulge,7,1737
rendered,7,1738
abbey-mill,7,1739
farmer,7,1740
greatly,7,1741
god,7,1742
eating,7,1743
stir,7,1744
measure,7,1745
cox,7,1746
cheerfully,7,1747
guessed,7,1748
female,7,1749
chose,7,1750
o'clock,7,1751
cease,7,1752
observations,7,1753
barouche-landau,7,1754
foot,7,1755
twelve,7,1756
tuesday,7,1757
steps,7,1758
alliance,7,1759
across,7,1760
chiefly,7,1761
personal,7,1762
rivet,7,1763
engage,7,1764
bristol,7,1765
require,7,1766
impression,7,1767
autumn,7,1768
blessed,7,1769
ours,7,1770
constitution,7,1771
pork,7,1772
active,7,1773
congratulations,7,1774
wealth,7,1775
ford's,7,1776
june,7,1777
depends,7,1778
strongly,7,1779
parlour,7,1780
objects,7,1781
doubts,7,1782
error,7,1783
symptoms,7,1784
dress,7,1785
sending,7,1786
bye,7,1787
declared,7,1788
occasions,7,1789
quickly,7,1790
conscience,7,1791
support,7,1792
leg,6,1793
rejoice,6,1794
announce,6,1795
submitted,6,1796
sore,6,1797
damp,6,1798
deny,6,1799
openly,6,1800
